periodo,credito_sector_privado,tipo_cambio,inflacion_ipc,pbi_real
Sep.2022,460576.95365874,3.89895909090909,8.52985253634929,179.495469139942
Oct.2022,461897.091793731,3.97934761904762,8.27519462737062,179.405617502151
Nov.2022,459677.592695015,3.87657619047619,8.44722980234022,178.521843716054
Dic.2022,457212.014642692,3.828975,8.45916200000001,179.023255014478
Ene.2023,455738.710139182,3.83380476190476,8.66426700097408,175.538186117904
Feb.2023,451691.083895427,3.84146,8.64592356025242,176.209312526868
Mar.2023,454780.724556626,3.77916086956522,8.40057400933134,176.968791266741
Abr.2023,456034.756591094,3.76545,7.9650458305066,176.687425034042
May.2023,454491.360627869,3.68866818181818,7.89388564823743,174.205884177575
Jun.2023,452593.949377221,3.65041904761905,6.46149699198863,178.389612909719
Jul.2023,452120.338226548,3.601255,5.88160145590039,175.55607284978
Ago.2023,456043.704423708,3.69776818181818,5.57614720330122,177.273544890054
Sep.2023,459912.677228209,3.73099523809524,5.04454594794186,178.226772279038
Oct.2023,460884.442838562,3.84575909090909,4.34308132283159,177.708044328767
Nov.2023,458655.891907493,3.76079523809524,3.63647512169549,179.544540628351
Dic.2023,459271.350226052,3.73394210526316,3.23738256432406,177.94208243702
Ene.2024,457194.471245153,3.74074285714286,3.02392174826855,178.791698564371
Feb.2024,453038.543616331,3.8279380952381,3.29406696032184,178.714605943273
Mar.2024,454494.167632086,3.70898947368421,3.04504592593905,180.331867541023
Abr.2024,457488.519111144,3.71503181818182,2.42207617792805,182.273289709686
May.2024,458702.210048213,3.73172727272727,2.00493835958688,183.960512446356
Jun.2024,461674.34262391,3.7867052631579,2.28538225698791,180.151783846905
Jul.2024,457312.05504964,3.764135,2.1276637869709,183.142003459551
Ago.2024,458756.18973556,3.74185,2.03409700303861,185.173621902032
Sep.2024,456910.221433455,3.7689619047619,1.77501053596859,184.332772760658
Oct.2024,459105.22130114,3.75436363636364,2.00918040984485,184.553940301195
Nov.2024,460804.618557948,3.779135,2.27199072148831,187.895068452118
Dic.2024,461274.26499109,3.73553684210526,1.96630270142824,186.365603465107
Ene.2025,455799.692345035,3.74692272727273,1.85158283440667,186.631247654167
Feb.2025,456398.482079209,3.69685,1.4773290589483,187.008810465743
Mar.2025,458124.105030612,3.65248571428571,1.27718026977924,186.138383459729
Abr.2025,460353.825600921,3.70003,1.65183401740204,187.618060590359
May.2025,463467.211284588,3.65991428571429,1.68666289219268,188.185812387631
Jun.2025,463634.609976231,3.60219523809524,1.69370904576716,188.17357685563
Jul.2025,468276.993442017,3.556945,1.6888009685144,190.187827971278
Ago.2025,470356.301562464,3.542385,1.10633077531991,190.90826254631
Sep.2025,470208.838774482,3.50180454545455,1.35839342135424,191.758369433757
Oct.2025,470552.782776523,3.41322727272727,1.35177475650182,192.238348969936
Nov.2025,474468.883319198,3.37263,1.36861256988846,190.953981032527
Dic.2025,479089.326795198,3.36686315789474,1.50879973918667,194.003668464196
